Class,CBO,DIT,LCOM,NOC,RFC,WMC,OCavg,CLOC,LOC,CLOC/LOC
org.jfree.chart.swing.SelectionZoomStrategy,n/a,n/a,n/a,n/a,15,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.swing.UIUtils,1,1,5,0,38,13,1.3,69,138,0.5
org.jfree.chart.swing.editor.ChartEditor,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.swing.editor.ChartEditorFactory,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.swing.editor.ChartEditorManager,6,1,1,0,7,4,1,28,43,0.651162791
org.jfree.chart.swing.editor.DefaultAxisEditor,12,5,3,1,74,28,1.65,186,386,0.481865285
org.jfree.chart.swing.editor.DefaultChartEditor,11,5,1,0,50,11,1.38,54,178,0.303370787
org.jfree.chart.swing.editor.DefaultChartEditorFactory,5,1,1,0,3,2,1,13,21,0.619047619
org.jfree.chart.swing.editor.DefaultLogAxisEditor,6,7,1,0,34,12,1.71,31,104,0.298076923
org.jfree.chart.swing.editor.DefaultNumberAxisEditor,7,7,1,0,42,12,1.71,19,104,0.182692308
org.jfree.chart.swing.editor.DefaultPlotEditor,18,5,1,1,90,67,3.94,159,495,0.321212121
org.jfree.chart.swing.editor.DefaultPolarPlotEditor,7,6,2,0,39,14,1.56,42,140,0.3
org.jfree.chart.swing.editor.DefaultTitleEditor,8,5,1,0,57,19,1.9,62,198,0.313131313
org.jfree.chart.swing.editor.DefaultValueAxisEditor,9,6,2,2,65,33,1.74,105,314,0.334394904
org.jfree.chart.swing.editor.FontChooserPanel,2,5,1,0,39,15,2.5,42,143,0.293706294
org.jfree.chart.swing.editor.FontDisplayField,2,6,1,0,11,5,1.25,30,55,0.545454545
org.jfree.chart.swing.editor.LCBLayout,7,1,5,0,17,28,3.5,62,202,0.306930693
org.jfree.chart.swing.editor.PaintSample,5,4,2,0,15,5,1,30,64,0.46875
org.jfree.chart.swing.editor.StrokeChooserPanel,4,5,1,0,16,4,1.33,26,49,0.530612245
org.jfree.chart.swing.editor.StrokeSample,3,4,2,0,22,8,1.33,47,105,0.447619048
org.jfree.chart.text.AttributedStringUtils,2,1,1,0,8,9,4.5,18,56,0.321428571
