Class,Jm,CBO,LCOM,NOC,RFC,WMC,CLOC/LOC,JTA
org.jfree.chart.renderer.LookupPaintScale.PaintItem,100.00%,3,1,0,10,11,0.460674157,0
org.jfree.chart.renderer.NotOutlierException,100.00%,0,0,0,2,1,0.642857143,0
org.jfree.chart.renderer.Outlier,100.00%,5,1,0,15,17,0.546666667,0
org.jfree.chart.renderer.OutlierList,100.00%,4,2,0,18,11,0.612068966,0
org.jfree.chart.renderer.OutlierListCollection,100.00%,4,3,0,17,12,0.615384615,0
org.jfree.chart.renderer.RendererState,100.00%,32,2,3,7,7,0.578125,0
org.jfree.chart.renderer.RendererUtils,100.00%,5,1,0,10,32,0.283653846,0
org.jfree.chart.renderer.WaferMapRenderer,100.00%,8,1,0,46,45,0.375426621,0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,100.00%,79,10,8,204,163,0.401656315,0
org.jfree.chart.renderer.category.AreaRenderer,100.00%,22,2,1,67,30,0.29218107,0
org.jfree.chart.renderer.category.BarRenderer,100.00%,50,7,5,162,134,0.430728242,0
org.jfree.chart.renderer.category.BoxAndWhiskerRenderer,100.00%,27,3,0,137,101,0.404072883,0
org.jfree.chart.renderer.category.CategoryItemRendererState,100.00%,25,4,1,13,16,0.591836735,0
org.jfree.chart.renderer.category.CategoryStepRenderer,100.00%,18,3,0,56,28,0.42,0
org.jfree.chart.renderer.category.CategoryStepRenderer.State,100.00%,3,0,0,3,1,0.65,0
org.jfree.chart.renderer.category.DefaultCategoryItemRenderer,100.00%,3,0,0,0,0,0.6,0
org.jfree.chart.renderer.category.GanttRenderer,100.00%,23,2,0,68,55,0.342052314,0
org.jfree.chart.renderer.category.GradientBarPainter,100.00%,9,1,0,34,31,0.30952381,0
org.jfree.chart.renderer.category.GroupedStackedBarRenderer,100.00%,23,1,0,56,32,0.283154122,0
org.jfree.chart.renderer.category.IntervalBarRenderer,100.00%,19,2,1,36,19,0.388235294,0
org.jfree.chart.renderer.category.LayeredBarRenderer,88.89%,17,2,0,67,55,0.297587131,0
org.jfree.chart.renderer.category.LevelRenderer,100.00%,18,1,0,69,35,0.422413793,0
org.jfree.chart.renderer.category.LineAndShapeRenderer,100.00%,27,2,2,100,80,0.5,0
org.jfree.chart.renderer.category.MinMaxCategoryRenderer,100.00%,16,2,0,54,47,0.441588785,0
org.jfree.chart.renderer.category.ScatterRenderer,100.00%,17,2,0,84,53,0.485169492,0
org.jfree.chart.renderer.category.StackedAreaRenderer,100.00%,18,2,0,46,40,0.308900524,0
org.jfree.chart.renderer.category.StackedBarRenderer,100.00%,25,2,1,57,37,0.322916667,0
org.jfree.chart.renderer.category.StandardBarPainter,100.00%,8,2,0,25,21,0.391025641,0
org.jfree.chart.renderer.category.StatisticalBarRenderer,100.00%,22,2,0,56,54,0.328159645,0
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,100.00%,21,2,0,71,45,0.336088154,0
org.jfree.chart.renderer.category.WaterfallBarRenderer,100.00%,24,2,0,64,41,0.364130435,0
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,98.15%,85,11,18,209,169,0.359747546,0
org.jfree.chart.renderer.xy.CandlestickRenderer,100.00%,25,2,0,84,77,0.469959947,0
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,100.00%,21,2,0,53,33,0.345588235,0
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,100.00%,12,1,0,18,36,0.272340426,0
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,100.00%,6,5,0,16,15,0.581699346,0
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,100.00%,2,0,0,0,0,0.6,0
org.jfree.chart.renderer.xy.DeviationRenderer,100.00%,20,4,1,51,28,0.465909091,0
org.jfree.chart.renderer.xy.DeviationRenderer.State,100.00%,4,0,0,3,1,0.64,0
org.jfree.chart.renderer.xy.DeviationStepRenderer,100.00%,17,1,0,48,31,0.316239316,0
org.jfree.chart.renderer.xy.GradientXYBarPainter,100.00%,9,1,0,33,31,0.307167235,0
org.jfree.chart.renderer.xy.HighLowRenderer,100.00%,21,2,0,53,48,0.440414508,0
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,100.00%,16,2,0,43,20,0.41588785,0
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,100.00%,4,1,0,5,2,0.629032258,0
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,100.00%,24,4,0,86,55,0.415754923,0
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,100.00%,3,4,0,11,8,0.580246914,0
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,100.00%,21,2,0,47,44,0.30733945,0
org.jfree.chart.renderer.xy.StackedXYBarRenderer,100.00%,24,3,0,56,43,0.3625,0
org.jfree.chart.renderer.xy.StandardXYBarPainter,100.00%,8,2,0,24,21,0.391025641,0
org.jfree.chart.renderer.xy.StandardXYItemRenderer,100.00%,33,1,1,117,91,0.464146023,0
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,100.00%,3,2,0,6,5,0.655172414,0
org.jfree.chart.renderer.xy.VectorRenderer,100.00%,18,2,0,40,30,0.278625954,0
org.jfree.chart.renderer.xy.WindItemRenderer,100.00%,14,1,0,25,3,0.361904762,0
