Dependency metrics,Wed., 19 Oct. 2022 18:20:12 EDT,,,,,
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*,PDcy,PDpt
org.jfree.chart.renderer.category.StackedBarRenderer,0,22,207,3,44,11,2
org.jfree.chart.renderer.category.StandardBarPainter,0,5,206,3,43,4,2
org.jfree.chart.renderer.category.StatisticalBarRenderer,0,20,206,2,44,12,2
org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,0,20,204,1,1,10,1
org.jfree.chart.renderer.category.WaterfallBarRenderer,0,22,206,2,42,11,2
org.jfree.chart.renderer.xy.AbstractXYItemRenderer,3,40,195,46,132,17,3
org.jfree.chart.renderer.xy.CandlestickRenderer,0,23,197,2,42,12,2
org.jfree.chart.renderer.xy.ClusteredXYBarRenderer,0,20,200,1,1,12,1
org.jfree.chart.renderer.xy.CyclicXYItemRenderer,0,12,207,0,0,6,0
org.jfree.chart.renderer.xy.CyclicXYItemRenderer.OverwriteDataSet,0,5,7,1,1,3,1
org.jfree.chart.renderer.xy.DefaultXYItemRenderer,0,1,199,1,1,1,1
org.jfree.chart.renderer.xy.DeviationRenderer,0,17,200,3,3,9,1
org.jfree.chart.renderer.xy.DeviationRenderer.State,0,2,21,2,4,2,1
org.jfree.chart.renderer.xy.DeviationStepRenderer,0,16,201,1,1,8,1
org.jfree.chart.renderer.xy.GradientXYBarPainter,2,5,199,5,52,4,2
org.jfree.chart.renderer.xy.HighLowRenderer,0,19,196,2,42,11,2
org.jfree.chart.renderer.xy.SamplingXYLineRenderer,0,16,197,0,0,7,0
org.jfree.chart.renderer.xy.SamplingXYLineRenderer.State,0,3,20,1,1,3,1
org.jfree.chart.renderer.xy.StackedXYAreaRenderer,0,23,199,1,1,12,1
org.jfree.chart.renderer.xy.StackedXYAreaRenderer.StackedXYAreaRendererState,0,2,20,1,2,2,1
org.jfree.chart.renderer.xy.StackedXYAreaRenderer2,0,19,197,2,41,12,2
org.jfree.chart.renderer.xy.StackedXYBarRenderer,0,23,200,1,1,12,1
org.jfree.chart.renderer.xy.StandardXYBarPainter,0,5,200,3,43,4,2
org.jfree.chart.renderer.xy.StandardXYItemRenderer,0,26,197,7,19,13,3
org.jfree.chart.renderer.xy.StandardXYItemRenderer.State,0,2,20,1,20,2,1
org.jfree.chart.renderer.xy.VectorRenderer,0,17,198,1,1,11,1
org.jfree.chart.renderer.xy.WindItemRenderer,0,12,197,2,42,6,2
org.jfree.chart.renderer.xy.XYAreaRenderer,0,26,197,4,43,13,2
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,0,2,20,1,44,2,1
org.jfree.chart.renderer.xy.XYAreaRenderer2,0,23,196,3,43,12,2
org.jfree.chart.renderer.xy.XYBarRenderer,2,32,199,10,52,14,3
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,0,2,20,2,53,2,1
org.jfree.chart.renderer.xy.XYBlockRenderer,0,20,199,1,1,10,1
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,0,23,202,2,41,12,2
org.jfree.chart.renderer.xy.XYBubbleRenderer,0,18,196,2,42,11,2
org.jfree.chart.renderer.xy.XYDifferenceRenderer,0,27,196,1,1,14,1
org.jfree.chart.renderer.xy.XYDotRenderer,0,18,196,1,1,10,1
org.jfree.chart.renderer.xy.XYErrorRenderer,0,15,199,1,1,8,1
org.jfree.chart.renderer.xy.XYItemRendererState,0,3,19,37,141,3,2
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,0,23,198,16,56,12,5
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,0,3,20,6,59,3,1
org.jfree.chart.renderer.xy.XYShapeRenderer,0,23,199,1,1,12,1
org.jfree.chart.renderer.xy.XYSplineRenderer,0,15,201,1,1,8,1
org.jfree.chart.renderer.xy.XYSplineRenderer.FillType,0,0,0,2,2,0,1
org.jfree.chart.renderer.xy.XYSplineRenderer.XYSplineState,0,2,21,1,2,2,1
org.jfree.chart.renderer.xy.XYStepAreaRenderer,0,17,196,2,42,10,2
org.jfree.chart.renderer.xy.XYStepRenderer,0,19,199,2,42,10,2
org.jfree.chart.renderer.xy.YIntervalRenderer,0,20,196,1,1,12,1
org.jfree.chart.swing.AbstractOverlay,0,4,4,1,2,2,1
org.jfree.chart.swing.ApplicationFrame,0,0,0,0,0,0,0
org.jfree.chart.swing.ChartFrame,0,2,399,0,0,2,0
org.jfree.chart.swing.ChartMouseEvent,0,2,110,3,9,2,1
org.jfree.chart.swing.ChartPanel,2,27,398,6,7,7,1
org.jfree.chart.swing.CrosshairOverlay,0,16,403,1,1,8,1
org.jfree.chart.swing.DefaultSelectionZoomStrategy,0,2,3,1,8,2,1
org.jfree.chart.swing.MouseWheelHandler,2,7,398,1,7,4,1
org.jfree.chart.swing.NumberCellRenderer,0,0,0,1,1,0,1
org.jfree.chart.swing.OverlayChangeEvent,0,0,0,3,10,0,1
org.jfree.chart.swing.PolarChartPanel,0,5,399,0,0,4,0
org.jfree.chart.swing.UIUtils,0,1,1,0,0,1,0
org.jfree.chart.swing.editor.ChartEditorManager,0,5,248,1,8,3,1
org.jfree.chart.swing.editor.DefaultAxisEditor,3,10,132,2,16,3,1
org.jfree.chart.swing.editor.DefaultChartEditor,0,10,245,1,10,4,1
org.jfree.chart.swing.editor.DefaultChartEditorFactory,0,4,247,1,9,2,1
