Lines of code metrics,Wed., 19 Oct. 2022 19:46:22 EDT,
Class,CLOC,JLOC,LOC
org.jfree.chart.util.DirectionalGradientPaintTransformer,42,34,86
org.jfree.chart.util.ExportUtils,64,61,159
org.jfree.chart.util.GradientPaintTransformType,7,7,13
org.jfree.chart.util.PaintAlpha,191,153,309
org.jfree.chart.util.StandardGradientPaintTransformer,50,50,123
org.jfree.chart.util.StringUtils,28,28,52
org.jfree.data.ComparableObjectItem,62,62,114
org.jfree.data.ComparableObjectSeries,182,175,380
org.jfree.data.DataUtils,87,86,208
org.jfree.data.DefaultKeyedValue,58,58,109
org.jfree.data.DefaultKeyedValues,175,174,366
org.jfree.data.DefaultKeyedValues2D,217,204,464
org.jfree.data.DomainOrder,6,6,11
org.jfree.data.KeyToGroupMap,91,90,245
org.jfree.data.KeyedObject,44,44,96
org.jfree.data.KeyedObjects,131,130,274
org.jfree.data.KeyedObjects2D,183,181,421
org.jfree.data.KeyedValueComparator,32,32,111
org.jfree.data.KeyedValueComparatorType,6,6,10
org.jfree.data.KeyedValues2DItemKey,34,34,102
org.jfree.data.KeyedValuesItemKey,23,23,68
org.jfree.data.Range,191,190,383
org.jfree.data.RangeType,7,7,12
org.jfree.data.UnknownKeyException,8,8,13
org.jfree.data.category.CategoryToPieDataset,112,110,258
org.jfree.data.category.DefaultCategoryDataset,219,217,357
org.jfree.data.category.DefaultIntervalCategoryDataset,327,312,697
org.jfree.data.category.SlidingCategoryDataset,156,155,299
org.jfree.data.flow.DefaultFlowDataset,134,134,301
org.jfree.data.flow.FlowDatasetUtils,70,65,156
org.jfree.data.flow.FlowKey,55,53,116
org.jfree.data.flow.NodeKey,49,48,100
org.jfree.data.function.LineFunction2D,44,44,83
org.jfree.data.function.NormalDistributionFunction2D,44,43,91
org.jfree.data.function.PolynomialFunction2D,44,44,77
org.jfree.data.function.PowerFunction2D,44,44,83
org.jfree.data.gantt.SlidingGanttCategoryDataset,296,295,571
org.jfree.data.gantt.Task,96,96,185
org.jfree.data.gantt.TaskSeries,70,70,141
org.jfree.data.gantt.TaskSeriesCollection,284,276,587
org.jfree.data.gantt.XYTaskDataset,207,207,399
org.jfree.data.general.AbstractDataset,116,114,179
org.jfree.data.general.AbstractSeriesDataset,37,37,63
org.jfree.data.general.DatasetChangeEvent,23,23,33
