Metrics3913,Fri., 21 Oct. 2022 19:45:44 EDT
Class,CBO,CLOC,Jm,JTA,LCOM,LOC,NOC,RFC,WMC
org.jfree.chart.block.LineBorderTest,3,12,100.00%,0,2,54,0,12,3
org.jfree.chart.block.RectangleConstraint,28,136,100.00%,0,1,282,0,24,33
org.jfree.chart.block.RectangleConstraintTest,4,15,100.00%,0,1,79,0,6,1
org.jfree.chart.block.Size2D,33,63,100.00%,0,2,119,0,12,14
org.jfree.chart.date.MonthConstants,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
org.jfree.chart.date.SerialDate,8,466,100.00%,0,16,815,1,65,78
org.jfree.chart.date.SpreadsheetDate,2,195,100.00%,0,3,367,0,30,34
org.jfree.chart.encoders.EncoderUtil,3,85,100.00%,0,8,134,0,14,8
org.jfree.chart.encoders.ImageEncoder,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.encoders.ImageEncoderFactory,2,47,100.00%,0,1,96,0,17,8
org.jfree.chart.encoders.ImageFormat,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
org.jfree.chart.encoders.SunJPEGEncoderAdapter,2,62,100.00%,0,3,109,0,23,8
org.jfree.chart.encoders.SunPNGEncoderAdapter,3,46,100.00%,0,5,75,0,10,6
org.jfree.chart.entity.AxisEntity,5,77,100.00%,0,1,146,0,28,16
org.jfree.chart.entity.CategoryItemEntity,6,74,100.00%,0,3,133,0,14,14
org.jfree.chart.entity.CategoryItemEntityTest,5,12,100.00%,0,3,69,0,17,3
org.jfree.chart.entity.CategoryLabelEntity,5,37,100.00%,0,1,77,0,16,8
org.jfree.chart.entity.CategoryLabelEntityTest,4,12,100.00%,0,3,56,0,15,3
org.jfree.chart.entity.ChartEntity,36,153,100.00%,0,1,319,12,45,37
org.jfree.chart.entity.EntityCollection,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
org.jfree.chart.entity.FlowEntity,5,31,80.00%,0,1,63,0,10,7
org.jfree.chart.entity.FlowEntityTest,4,14,100.00%,0,3,53,0,13,3
org.jfree.chart.entity.JFreeChartEntity,5,76,100.00%,0,1,145,0,28,16
org.jfree.chart.entity.LegendItemEntity,4,63,100.00%,0,2,114,0,12,13
org.jfree.chart.entity.LegendItemEntityTest,5,12,100.00%,0,3,58,0,18,3
org.jfree.chart.entity.NodeEntity,4,30,100.00%,0,1,48,0,7,4
org.jfree.chart.entity.PieSectionEntity,7,94,100.00%,0,4,169,0,18,18
org.jfree.chart.entity.PieSectionEntityTest,5,12,100.00%,0,3,70,0,20,3
org.jfree.chart.entity.PlotEntity,5,76,100.00%,0,1,145,0,28,16
org.jfree.chart.entity.StandardEntityCollection,13,69,91.67%,0,1,145,0,29,17
org.jfree.chart.entity.StandardEntityCollectionTest,5,13,100.00%,0,3,58,0,16,3
org.jfree.chart.entity.TickLabelEntity,3,12,100.00%,0,0,19,1,2,1
org.jfree.chart.entity.TickLabelEntityTest,4,12,100.00%,0,3,50,0,15,3
org.jfree.chart.entity.TitleEntity,7,76,100.00%,0,1,145,0,28,16
org.jfree.chart.entity.XYAnnotationEntity,2,31,100.00%,0,1,63,0,6,8
org.jfree.chart.entity.XYItemEntity,9,61,100.00%,0,3,114,0,11,13
org.jfree.chart.entity.XYItemEntityTest,5,12,100.00%,0,3,62,0,18,3
org.jfree.chart.event.AnnotationChangeEvent,10,17,100.00%,0,1,28,0,4,2
org.jfree.chart.event.AnnotationChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.AxisChangeEvent,10,16,100.00%,0,1,25,0,3,2
org.jfree.chart.event.AxisChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.ChartChangeEvent,35,46,100.00%,0,2,76,7,9,7
org.jfree.chart.event.ChartChangeEventType,4,6,0.00%,0,2,11,n/a,2,0
org.jfree.chart.event.ChartChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.ChartProgressEvent,5,45,100.00%,0,3,77,0,9,7
org.jfree.chart.event.ChartProgressEventType,2,5,0.00%,0,2,9,n/a,2,0
org.jfree.chart.event.ChartProgressListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.MarkerChangeEvent,11,17,100.00%,0,1,26,0,3,2
org.jfree.chart.event.MarkerChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.PlotChangeEvent,14,17,100.00%,0,1,27,0,3,2
org.jfree.chart.event.PlotChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.RendererChangeEvent,12,33,100.00%,0,2,51,0,5,4
org.jfree.chart.event.RendererChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.event.TitleChangeEvent,9,14,100.00%,0,1,24,0,3,2
org.jfree.chart.event.TitleChangeListener,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,2,24,100.00%,0,1,43,0,5,3
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGeneratorTest,1,6,100.00%,0,1,19,0,4,1
org.jfree.chart.imagemap.ImageMapUtils,13,80,100.00%,0,2,195,0,25,23
org.jfree.chart.imagemap.ImageMapUtilsTest,8,9,40.00%,0,5,57,0,19,5
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,5,14,100.00%,0,1,26,0,4,2
org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGeneratorTest,1,6,100.00%,0,1,19,0,4,1
org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,5,13,100.00%,0,1,24,0,4,2
org.jfree.chart.imagemap.StandardToolTipTagFragmentGeneratorTest,1,6,100.00%,0,1,17,0,4,1
org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,5,14,100.00%,0,1,24,0,3,2
org.jfree.chart.imagemap.StandardURLTagFragmentGeneratorTest,1,6,100.00%,0,1,18,0,4,1
org.jfree.chart.imagemap.ToolTipTagFragmentGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.imagemap.URLTagFragmentGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.internal.Args,239,45,100.00%,0,5,78,0,7,10
org.jfree.chart.internal.ArgsTest,1,3,0.00%,0,1,16,0,3,1
org.jfree.chart.internal.ArrayUtils,3,48,100.00%,0,1,152,0,11,31
org.jfree.chart.internal.CloneUtils,244,50,100.00%,0,1,130,0,19,13
org.jfree.chart.internal.CloneUtilsTest,1,13,100.00%,0,2,37,0,11,2
org.jfree.chart.internal.HashUtils,55,92,100.00%,0,2,153,0,19,19
org.jfree.chart.internal.HashUtilsTest,1,6,100.00%,0,1,19,0,4,1
org.jfree.chart.internal.LineUtils,6,33,100.00%,0,2,113,0,15,15
org.jfree.chart.internal.LineUtilsTest,1,7,33.33%,0,1,79,0,15,7
org.jfree.chart.internal.PaintUtils,69,50,100.00%,0,3,157,0,45,20
org.jfree.chart.internal.SerialUtils,96,187,100.00%,0,10,575,0,99,71
org.jfree.chart.internal.SerialUtilsTest,4,3,0.00%,0,2,25,0,14,2
org.jfree.chart.internal.SerialUtilsTest.ObjectWithMapOfPaint,2,0,0.00%,0,1,17,0,8,4
org.jfree.chart.internal.SerialUtilsTest.ObjectWithMapOfStroke,2,0,0.00%,0,1,17,0,8,4
org.jfree.chart.internal.ShapeUtils,31,193,100.00%,0,16,447,0,72,46
org.jfree.chart.internal.ShapeUtilsTest,2,22,60.00%,0,5,75,0,22,5
org.jfree.chart.labels.AbstractCategoryItemLabelGenerator,13,116,100.00%,0,3,240,2,31,24
org.jfree.chart.labels.AbstractPieItemLabelGenerator,9,75,100.00%,0,1,170,2,23,20
org.jfree.chart.labels.AbstractXYItemLabelGenerator,12,125,100.00%,0,1,270,5,36,31
org.jfree.chart.labels.BoxAndWhiskerToolTipGenerator,10,46,100.00%,0,1,91,0,17,7
org.jfree.chart.labels.BoxAndWhiskerToolTipGeneratorTest,5,21,100.00%,0,5,69,0,18,5
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGenerator,8,50,100.00%,0,1,99,0,24,8
org.jfree.chart.labels.BoxAndWhiskerXYToolTipGeneratorTest,4,22,100.00%,0,5,89,0,19,5
org.jfree.chart.labels.BubbleXYItemLabelGenerator,9,92,100.00%,0,1,195,0,31,19
org.jfree.chart.labels.BubbleXYItemLabelGeneratorTest,6,24,100.00%,0,6,119,0,25,6
org.jfree.chart.labels.CategoryItemLabelGenerator,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
